u,v,W,f_demand,f_topo,f_redundancy,edge_type,travel_time,length,num_lanes,speed
9497798280,cluster_9300932035_9873795548,0.1032398009373825,0.001924946004319654,0.0075910931174089065,0.5,highway.residential,13.31893448524118,185.0,2,13.89
9497798280,9300932048,0.1,0.0,0.0,0.5,highway.residential,16.17350611951044,224.65,2,13.89
9497798280,9497798266,0.10215986729158834,0.0012832973362131028,0.005060728744939271,0.5,highway.residential,4.820014398848092,66.96,2,13.89
cluster_9300932035_9873795548,4199843663,0.11457489878542511,0.0,0.048582995951417005,0.5,highway.residential,5.844492440604752,81.18,1,13.89
cluster_9300932035_9873795548,cluster_9300932039_9873795558,0.1,0.0,0.0,0.5,highway.residential,13.573074154067674,188.53,1,13.89
cluster_9300932035_9873795548,9873795549,0.1108336976766555,0.007699784017278616,0.02327935222672065,0.5,highway.residential,4.608351331893449,64.01,1,13.89
cluster_9300932035_9873795548,9873795547,0.10705813534917206,0.014116270698344131,0.0,0.5,highway.residential,5.896328293736501,81.9,1,13.89
cluster_9300932035_9873795548,11221078049,0.106479601874765,0.003849892008639308,0.015182186234817813,0.5,highway.residential,6.551475881929445,91.0,1,13.89
cluster_9300932035_9873795548,cluster_9497798311_9873795566,0.1,0.0,0.0,0.5,highway.residential,11.614830813534917,161.33,1,13.89
9300932048,9497798266,0.10107993364579418,0.0006416486681065514,0.0025303643724696357,0.5,highway.residential,5.9560835133189345,82.73,2,13.89
9300932048,9497798272,0.1,0.0,0.0,0.5,highway.residential,9.135349172066235,126.89,2,13.89
1184040178,1184040176,0.10032082433405329,0.0006416486681065514,0.0,0.5,highway.residential,1.8567314614830812,25.79,2,13.89
1184040178,88510819,0.15648968236904662,0.11146114611461144,0.0025303643724696357,0.5,highway.tertiary,11.504500450045004,255.63,1,22.22
1184040178,cluster_88490764_88490766,0.15517326732673267,0.11034653465346533,0.0,0.5,highway.tertiary,15.00810081008101,333.48,1,22.22
1184040176,88510819,0.2510627530364372,0.0,0.5035425101214575,0.5,highway.tertiary,9.881188118811881,219.56,1,22.22
1184040176,cluster_88490764_88490766,0.2503036437246964,0.0,0.5010121457489879,0.5,highway.tertiary,13.927092709270926,309.46,1,22.22
1184103857,88510973,0.20107993364579418,0.0006416486681065514,0.0025303643724696357,1.0,highway.residential,24.09791216702664,334.72,2,13.89
88510973,5904887911,0.2032398009373825,0.001924946004319654,0.0075910931174089065,1.0,highway.residential,6.293736501079914,87.45,2,13.89
88510973,88510956,0.2051888108851371,0.002786528652865286,0.012651821862348178,1.0,highway.tertiary,10.32853285328533,234.67,2,22.22
10301950304,9300932040,0.2032398009373825,0.001924946004319654,0.0075910931174089065,1.0,highway.residential,0.843772498200144,11.72,2,13.89
10301950304,10301950308,0.20215986729158836,0.0012832973362131028,0.005060728744939271,1.0,highway.residential,5.531317494600431,76.83,4,13.89
9300932040,10167617737,0.10155257984219562,0.0012832973362131028,0.003036437246963563,0.5,highway.residential,3.149748020158387,45.71,2,13.89
9300932040,cluster_11448987091_9300932034,0.10587231442537229,0.003849892008639308,0.013157894736842105,0.5,highway.residential,5.309575233981281,73.75,2,13.89
10301950308,9454409062,0.20107993364579418,0.0006416486681065514,0.0025303643724696357,1.0,highway.residential,4.794816414686824,66.6,2,13.89
9300932030,88510203,0.1580359198794461,0.012832973362131028,0.1720647773279352,0.5,highway.residential,6.713462922966163,93.25,2,13.89
9300932030,cluster_11448987091_9300932034,0.15695598623365192,0.012191324694024477,0.1695344129554656,0.5,highway.residential,20.293736501079913,281.88,2,13.89
88510203,88541400,0.5087644802507041,0.2381767337807606,0.9655870445344129,0.5,highway.secondary,36.45100671140939,814.8,2,22.35
88510203,4199843666,0.45691248343273694,0.11382496686547383,1.0,0.5,highway.secondary,4.143141153081511,83.36,5,20.12
88510203,2359484307,0.37202912721109693,0.002661493288590604,0.9023279352226721,0.5,highway.secondary,4.412192393736018,78.89,2,17.88
88510203,801225989,0.1,0.0,0.0,0.5,highway.secondary,8.124720357941836,145.27,1,17.88
cluster_10153775644_10153775698,9497798231,0.11143849810082224,0.002229222922292229,0.03441295546558704,0.5,highway.tertiary,3.811881188118812,84.7,2,22.22
cluster_10153775644_10153775698,cluster_10153775647_10153775701,0.14493927125506073,0.0,0.14979757085020243,0.5,highway.residential,94.86969042476602,1327.2,2,13.89
cluster_10153775644_10153775698,10951309056,0.14101877039930716,0.002786528652865286,0.132085020242915,0.5,highway.tertiary,13.894239423942397,308.73,1,22.22
cluster_10153775644_10153775698,cluster_10167617640_10167617641_8498280001_8498280002,0.1,0.0,0.0,0.5,highway.tertiary,38.280828082808284,850.6,1,22.22
9497798231,cluster_10197150912_10197150913,0.111716253962276,0.0027847346451997613,0.03441295546558704,0.5,highway.tertiary,8.130590339892667,92.35,2,11.18
9497798261,9497798260,0.10092811178344599,0.0006416486681065514,0.0020242914979757085,0.5,highway.residential,13.546436285097192,191.54,2,13.89
9497798261,9497798252,0.10337444219037377,0.0012832973362131028,0.009109311740890687,0.5,highway.residential,4.618430525557955,64.15,2,13.89
9497798261,9497798262,0.11027795205533356,0.00962473002159827,0.018218623481781375,0.5,highway.residential,8.23110151187905,114.33,2,13.89
9497798261,8230061766,0.11444586477616205,0.012191324694024477,0.02783400809716599,0.5,highway.residential,11.061195104391647,153.64,2,13.89
9497798260,9497798262,0.1,0.0,0.0,0.5,highway.tertiary,10.833631484794276,121.12,1,11.18
9497798260,cluster_8498305902_8498305903_8498326150_8498326151,0.10015182186234818,0.0,0.0005060728744939271,0.5,highway.tertiary,48.20214669051878,538.9,1,11.18
9497798252,10197150901,0.10290179599397231,0.0006416486681065514,0.00860323886639676,0.5,highway.residential,4.833693304535637,67.14,2,13.89
9497798252,10197150911,0.1,0.0,0.0,0.5,highway.residential,32.15838732901368,453.28,2,13.89
